humanities,IRL 4050,US./ Africa Relations,
humanities,IRL 4055,Africa – Middle East Relations,
humanities,IRL 4065,East Africa in World Affairs,
humanities,IRL 4151,Field Study,
humanities,IRL 4800,Critical Issues in Kenyan Foreign Policy,
humanities,ECO 1020,Principles of Macroeconomics,
humanities,IRL 3010,Development Issues in Africa,
humanities,IRL 3045,Politics of Regionalism in Africa,
humanities,IRL 2100,Introduction to Human Rights,
humanities,IRL 2220,Gender and IR,
humanities,IRL 3040,Politics in Africa,
humanities,IRL 4150,Area Studies,
humanities,IRL 4220,Refugee Studies,
humanities,IRL 4811,Critical Issues in Africa,
humanities,IRL 3015,Introduction to Peace & Conflict Studies,
humanities,IRL 4001,Regional Conflicts in Africa,
humanities,IRL 4010,Geopolitics,
humanities,IRL 4045,Security Studies & Strategies,
humanities,IRL 4850,Studies in Contemporary International Crisis,
humanities,PSY 1101,Introduction to Psychology,
humanities,PSY 1105,Developmental Psychology,
humanities,PSY 1111,Writing in Psychology,
humanities,PSY 1110,Experimental Psychology,
humanities,PSY 2105,Social Psychology,
humanities,PSY 2120,Psychology of Learning,
humanities,PSY 3105,History & Systems of Psychology,
humanities,PSY 2125,Human Sexuality,
humanities,PSY 3116,Psychology of Adolescence,
humanities,PSY 3110,Psychology of Personality,
humanities,PSY 3125,Multicultural Diversity in Psychology,
humanities,PSY 3141,Psychology of Special Needs,
humanities,PSY 3115,Abnormal Psychology,
humanities,PSY 4105,Statistics For Psychology,
humanities,PSY 4109,Tests and Measurements,
humanities,PSY 4110,Research Methods,
humanities,PSY 4117,Cognitive Psychology,
humanities,PSY 4900,Project / Internship,
humanities,PSY 4910,Project / Internship,
humanities,PSY 4181,Fieldwork in Chemical Dependency,
humanities,CJS 1101,Introduction to Criminal Justice Systems,
humanities,CJS 1103,Juvenile Justice,
humanities,CJS 1104,Criminology,
humanities,CJS 2201,Criminal Law,
humanities,CJS 2202,Criminal Procedure,
humanities,CJS 2204,Corrections and Punishment,
humanities,CJS 2205,Ethics in Criminal Justice,
humanities,CJS 2211,Community and Social Justice,
humanities,CJS 3301,Crime and Public Policy,
humanities,CJS 3303,Victimology,
humanities,CJS 3306,Criminal Investigations,
humanities,CJS 3307,Comparative Criminal Justice Systems,
humanities,CJS 3309,Terrorism and International Security,
humanities,CJS 4120,Criminal Evidence,
humanities,CJS 4130,Research Methods in Criminal Justice,
humanities,CJS 4136,International Criminal Law & Procedures,
humanities,CJS 4900,Criminal Justice Project,
humanities,CJS 4910,Criminal Justice Internship,
humanities,CJS 2207,Diversity and Criminal Justice,
humanities,CJS 2210,Crime and Gender,
humanities,CJS 3305,Forensic Science,
humanities,CJS 3312,Community Policing,
humanities,CJS 3313,Information Technology & Crime,
humanities,CJS 4140,Police Administration,
humanities,CJS 4150,Criminal Justice Administration,
humanities,CJS 4125,Seminar in Criminal Justice,
humanities,SOC 1101,Foundations of Sociology,
humanities,SOC 1102,The Social Structure of Society,
humanities,SOC 2214,Social Change,
humanities,SOC 2220,Writing in Sociology,
humanities,SOC 3302,Classical Sociological Theory,
humanities,SOC 3303,Social Research Methods,
humanities,SOC 4401,Modern Sociological Theory,
