Course Code, Course Name,Unnamed: 2
CHE1305,Inorganic Chemistry I (Basic Inorganic Chemistry),
BCM1341,Cellular Biology (Biochemistry I),
PHY1332,Human Physiology II,
NSC2215,Introduction to Physical Mechanics,
CHE1306,Inorganic Chemistry II (Atomic Structure and Chemical Bonding),
CHE2305,Introduction to Organic Chemistry,
HAN1322,Human Anatomy II,
PHY1333,Human Physiology III,
HAN1323,Human Anatomy III,
CHE2307,Physical Chemistry,
CHE2306,Synthetic Methods in Organic Chemistry,
BCM1342,Biochemistry II,
PHM3401,Introduction to Analytical Chemistry,
BCM1343,Biochemistry III (Metabolism and Associated Disorders),
PHY2334,Cardiovascular and Renal Physiology,
MIC2365,Bacteriology,
BCM2345,Biochemistry V (Enzymology),
HSC2391,Health Economics,
SOC2201,Introduction to Sociology,
PAT3371,General Pathology,
PHY2335,Human Physiology V,
BCM2344,Biochemistry of Specialized Tissue,
MIC2362,Parasitology and Entomology,
MIC2366,Virology and Mycology,
CHE2304,Chromatographic Methods,
PHY2336,Human Physiology VI,
BCM2346,Molecular Biology (Biochemistry VI),
MIC2367,Immunopathology,
BCM3347,Introduction to Pharmaceutical Biotechnology (Biochemistry VII),
BOT3352,Plant Anatomy and Physiology,
CHE2308,Nuclear Chemistry,
HSC3492,Law and Ethics in Research,
PHM3402,Instrumental Method Analysis,
PHM3481,Introduction to Clinical Pharmacy (Clinical),
PHM3471,Basic Pharmacology and Toxicology,
PHM3411,Introduction to Pharmacy (Pharmaceuticals),
BOT3353,General Plant Biochemistry and Toxicology,
PAT3372,Haematology,
PHM3351,General Pharmacognosy,
PHM3412,Biopharmaceutics,
PHM3404,Drug Discovery and Development,
PHM3485,Clinical Management of Bacterial and Viral Diseases,
PHM3472,Anti-Infective Drugs,
PHM3483,Respiratory and Gastrointestinal Disorders,
PAT3373,Clinical Chemistry,
PHM3473,Respiratory and Gastrointestinal Pharmacology,
PHM3405,Medicinal Chemistry of Pharmacodynamics Drugs,
PHM3413,Physical Pharmaceutics,
PHM3487,Clinical Management of Fungal Parasitic and Protozoan Diseases, 
PHM4492,Introduction to Social and Behavioral Pharmacy,
PHM4484,Cardiovascular and Renal Disorders,
PHM4474,Cardiovascular and Renal Pharmacology,
PHM4405,Classification  Activities & Assays of Chemotherapeutic Agents,
PHM4414,Unit Operations,
PHM4451,Fundamentals of Phytochemistry,
HSC4493,Research Methods and Biostatistics,
PHM4487,Endocrine and Reproductive System Disorders,
PHM4475,Endocrine and Reproductive Pharmacology,
PHM4452,Complementary and Alternative Medicine,
PHM4425,Qualitative and Quantitative Analysis of Drugs (Pharmaceutical Analysis I),
PHM4415,Powder Technology,
PHM4406,Discovery & Development of Chemotherapeutic Agents,
PHM4481,Pharmacy Practice Experience 1,
PHM4493,Applied Social & Behavioral Pharmacy,
PHM4488,Nervous and Musculoskeletal Disorders,
PHM4476,Nervous and Musculoskeletal Pharmacology,
PHM4426,Operations of a Quality Control Laboratory (Pharmaceutical Analysis II),
PHM4416,Dispensing and Pharmacy Practice,
PHM4482,Pharmacy Practice Experience II,
PHM5492,Pharmaceutical Marketing Management,
PHM5493,Pharmacy Management,
PHM5407,Pharmaceutical Quality Control,
PHM5490,Neoplastic Disorders,
PHM5477,Cancer Ocular And Skin Pharmacology, 
PHM5417,Dosage Forms,
PHM4483,Pharmacy Practice Experience III,
PHM5496,Pharmacy Law & Ethics,
PHM5491,Ocular Ear and Skin Disorders, 
PHM5478,Veterinary Pharmacology,
PHM5418,Pharmaceutical Microbiology,
PHM5497,Research Proposal,
BUS4090,Strategic Management,
PHM5494,Elective Industrial & Hospital Attachment,
PHM5498,Research Project and Thesis,
EPI1000,Introduction to Epidemiology,
BST1010,Introduction to Biostatistics,
EPI1010,Epidemiology of Disease,
HSC1394,Introduction to Global Health,
BST1020,Introduction to Statistical Computing,
HSC1330,Calculus for Health Sciences,
MIC2360,Introduction to Microbiology & Parasitology,
BST2010,Probability and Statistical Inference,
EPI2010,Nutritional Epidemiology,
EPI3010,Advanced Epidemiology,
DAN3010,Multivariate Methods/Analysis,
PHT2010,Disease Prevention & Health Promotion,
HSC3395,Environmental & Occupational Health,
NSC2205,Human Physiology,
PHT2020,Control & Prevention of Infectious Diseases,
PHT3010,Contemporary Community Health Issues,
BST3020,Demographic Techniques,
DAN3020,Data Mining,
HSC4010,Sociology for Health Sciences,
EPI4010,Exposure Assessment in Epidemiology,
EPI4020,Genetic & Molecular Epidemiology,
EPI4030,Pharmacoepidemiology and Drug Safety,
HSC4396,Fundamentals of Global Health,
DAN4010,Design & Management of Clinical Trials,
PHT4010,Public Health Epidemiology,
DAN4015,Longitudinal Data Analysis,
BST4030,Spatial Statistics and Disease Mapping,
HSC4496,Research Methods in Health Sciences,
DAN4030,Time Series Analysis,
BST4040,Statistical Genetics,
HSC4494,Practicum & Attachment,
HSC4495,Project Planning & Proposal Development,
BST4020,Mathematical Modelling of Infectious Diseases,
PHT4020,Monitoring & Evaluation of Health Programs,
DAN4020,Survival Data Analysis,
BST4050,Biostatistical Consultancy,
PHM4510,Fundamentals of Pharmacometrics,
BST4010,Research Project,
BST4060,Principles of Bioinformatics,
ENT4005,Entrepreneurial Behavior & Ethics,
HRT 1010,Introduction to Hospitality and Tourism Mgt.,
MTH 2210,Introduction to Applied Statistics,
ACT 1010,Principles of Accounting I,
HRM1020,Kitchen Organization & Food Knowledge,
BUS 2010,Business Mathematics,
ECO1020,Principles of Macroeconomics,
HRT 2010,Food Production,
BUS 2020,Business Communications,
HRM 3020,Catering Management,
HRM 3050,Hotel & Rest. Managerial Accounting & Finance,
MKT 3010,Principles of Marketing,
BUS 3010,Business Law,
MGT 4030,Cross Cultural Management,
BUS 4070,Business Values & Ethics,
HRM 4015,Food & Beverage Management,
MKT4050,Services Marketing,
HRT 4910,Internship/Project,
HRM 4030,House Keeping and Laundry Mgt,
HRM 3040,Hygiene and Nutrition,
BUS 4010,Small Business Entrepreneurship,
HRM 4020,Front Office Management.,
HRM 4025,Hotel Information Systems,
HRM 3030,Environmental Management for Hotel,
HRM 3025,Physical Plant Development and Maintenance,
HRM 3015,Hotel and Catering Laws,
HRM 4010,Restaurant Development and Operations,
BUS 4080,Business Process Management,
HRM 3045,Advanced Food Production,
HRM 3035,Beverage and Bar Service Management,
COM 1500,Intercultural Communication,
GNS 2000,Introduction to Gender Studies,
GNS 2001,Communication & Gender,
LIT 1106,African Fiction,
LIT 2220,Literature & Culture,
PHL 1104,Introduction to Philosophy,
SOC 2201,Introduction to Sociology,
FAR 3000,Music of the World,
FAR 3001,Visual Arts of the World,
GEO 3000,Geography and the Environment,
HIS 3015,20th Century Eastern Africa,
